book_id	kind	url
000014766	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000024CAE
000014766	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000024CDE
000014766	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000014766
000014766	pdf	http://access.bl.uk/item/pdf/lsidyv38c9110c
000014984	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003438C
000014984	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000014984
000014984	pdf	http://access.bl.uk/item/pdf/lsidyv38ef88d2
000015002	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000011076
000015022	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000046F4A
000015068	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002E60E
000015069	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002A29A
000015071	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002AD80
000015133	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000049794
000015134	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016902
000015135	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000041DCC
000015138	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000046992
000015138	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A0D6
000015139	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000039DF2
000015139	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000039DF8
000015140	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003342C
000015141	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005AE6A
000015146	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000030E7C
000015282	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015918
000015283	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000018426
000015439	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000014D6C
000015483	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003F282
