book_id	primary	secondary	tertiary
002652685	Non-Fiction	Poetry	English Selections
002652849	Non-Fiction	Topography	Australasian
002653142	Non-Fiction	Topography	Syrian, Persian, Central Asian
002653531	Non-Fiction	Geography & Ethnology	
002654664	Non-Fiction	Topography	Danish, Swedish, Norwegian
002655205	Non-Fiction	Topography	Indian, Chinese, Japanese
002656360	Non-Fiction	Plays	
002657417	Non-Fiction	Drama & Dramatic History	
002657426	Non-Fiction	Drama & Dramatic History	
002657428	Non-Fiction	Drama & Dramatic History	
002657429	Non-Fiction	Drama & Dramatic History	
002657437	Fiction	Fiction	English 3 Volume Novels
002657453	Non-Fiction	Poetry	English, Separate Works, 19th Century
002657622	Non-Fiction	Geography	England
002657671	Fiction	Fiction	English 3 Volume Novels
002657791	Non-Fiction	Topography	European
002659379	Non-Fiction	Topography	Syrian, Persian, Central Asian
002659388	Fiction	Fiction	English 1 & 2 Volume Novels
002659461	Non-Fiction	History	United States of America
002659462	Non-Fiction	History	United States of America
002659493	Non-Fiction	Topography	Indian, Chinese, Japanese
002659528	Non-Fiction	Hydrography	
002660139	Non-Fiction	Poetry	English Songs & Ballads
002660140	Non-Fiction	Geography & Topography	England
002660154	Non-Fiction	Topography	Scotch
002660155	Non-Fiction	Topography	Scotch
002660406	Non-Fiction	Poetry	English, Separate Works, 19th Century
002660543	Non-Fiction	Uncategorised	
002660552	Non-Fiction	Topography	United States of America
002660879	Non-Fiction	Poetry	English, Separate Works, 19th Century
002660905	Fiction	Fiction	English 3 Volume Novels
002660910	Fiction	Fiction	English 3 Volume Novels
002660911	Fiction	Fiction	English 3 Volume Novels
002660912	Fiction	Fiction	English 3 Volume Novels
002660916	Non-Fiction	Topography	Australasian
002660919	Fiction	Fiction	English 3 Volume Novels
002660920	Fiction	Fiction	English 1 & 2 Volume Novels
002660922	Fiction	Fiction	English 3 Volume Novels
002660926	Fiction	Fiction	English 3 Volume Novels
002660928	Fiction	Fiction	English 3 Volume Novels
