volume_id	book_id	volume_num	total	path	filesize
000018111_01	000018111	1	3	0000/000018111_01_text.txt	239
000018111_02	000018111	2	3	0000/000018111_02_text.txt	237
000018111_03	000018111	3	3	0000/000018111_03_text.txt	228
000018125_01	000018125	1	1	0000/000018125_01_text.txt	255
000018127_01	000018127	1	1	0000/000018127_01_text.txt	32
000018173_01	000018173	1	6	0000/000018173_01_text.txt	915
000018173_02	000018173	2	6	0000/000018173_02_text.txt	994
000018173_03	000018173	3	6	0000/000018173_03_text.txt	843
000018173_04	000018173	4	6	0000/000018173_04_text.txt	942
000018173_05	000018173	5	6	0000/000018173_05_text.txt	817
000018173_06	000018173	6	6	0000/000018173_06_text.txt	509
000018218_01	000018218	1	1	0000/000018218_01_text.txt	562
000018469_01	000018469	1	1	0000/000018469_01_text.txt	22
000018502_01	000018502	1	1	0000/000018502_01_text.txt	274
000018503_01	000018503	1	1	0000/000018503_01_text.txt	650
000018504_01	000018504	1	1	0000/000018504_01_text.txt	1007
000018506_01	000018506	1	1	0000/000018506_01_text.txt	294
000018551_01	000018551	1	1	0000/000018551_01_text.txt	209
000018730_01	000018730	1	1	0000/000018730_01_text.txt	22
000019193_01	000019193	1	1	0000/000019193_01_text.txt	33
000019199_01	000019199	1	1	0000/000019199_01_text.txt	365
000019505_01	000019505	1	1	0000/000019505_01_text.txt	174
000019719_01	000019719	1	1	0000/000019719_01_text.txt	77
000020960_01	000020960	1	1	0000/000020960_01_text.txt	304
000021092_01	000021092	1	3	0000/000021092_01_text.txt	1058
000021092_02	000021092	2	3	0000/000021092_02_text.txt	981
000021092_03	000021092	3	3	0000/000021092_03_text.txt	1066
000021093_01	000021093	1	3	0000/000021093_01_text.txt	1052
000021093_02	000021093	2	3	0000/000021093_02_text.txt	963
000021093_03	000021093	3	3	0000/000021093_03_text.txt	1057
000021095_01	000021095	1	7	0000/000021095_01_text.txt	1394
000021095_02	000021095	2	7	0000/000021095_02_text.txt	1375
000021095_03	000021095	3	7	0000/000021095_03_text.txt	1356
000021095_04	000021095	4	7	0000/000021095_04_text.txt	1498
000021095_05	000021095	5	7	0000/000021095_05_text.txt	1507
